iter	Logloss
0	0.4758519529
1	0.4151997125
2	0.4058714021
3	0.4022019566
4	0.399346119
5	0.3856291462
6	0.3830703544
7	0.3799648252
8	0.3791597368
9	0.3762418315
10	0.3728431243
11	0.3685483077
12	0.3663901921
13	0.3650002129
14	0.3642834843
15	0.3622750314
16	0.3502382821
17	0.3476728906
18	0.33793844
19	0.3378021674
20	0.3375297566
21	0.3362896185
22	0.3360382591
23	0.3355115917
24	0.3344594757
25	0.334346946
26	0.334336371
27	0.3321025586
28	0.331118374
29	0.3308819792
30	0.3307259032
31	0.330637461
32	0.3296427794
33	0.3290276453
34	0.3289634359
35	0.3285947744
36	0.328136121
37	0.3268538592
38	0.3265889406
39	0.3262077434
40	0.3261472851
41	0.3255149726
42	0.3254347781
43	0.3212032784
44	0.3211302521
45	0.3211302481
46	0.3205155013
47	0.3202496428
48	0.3170497052
49	0.3169930002
50	0.3164116922
51	0.3155758832
52	0.3155379652
53	0.315503219
54	0.3144943019
55	0.3143839361
56	0.3140080791
57	0.3140081188
58	0.3135134359
59	0.3134059032
60	0.3132907763
61	0.3132870341
62	0.3131126011
63	0.3128312069
64	0.3108182789
65	0.309988564
66	0.3099394134
67	0.3098424956
68	0.3097875619
69	0.3094660115
70	0.3090993959
71	0.3089284097
72	0.3087137124
73	0.308612885
74	0.3085524277
75	0.3084740985
76	0.3080103817
77	0.3079460674
78	0.3053397426
79	0.3027680984
80	0.3018029573
81	0.3017009828
82	0.3016748206
83	0.301655634
84	0.3011161339
85	0.2990232239
86	0.2988567181
87	0.2988114409
88	0.2980682337
89	0.2961861138
90	0.2961271785
91	0.2952128341
92	0.2917753931
93	0.2911251314
94	0.2906309031
95	0.290272289
96	0.28253415
97	0.2801971204
98	0.2796864616
99	0.277631395
100	0.2771703956
101	0.2771205928
102	0.2767565076
103	0.2763852705
104	0.2742696939
105	0.2729419029
106	0.2726946443
107	0.2718620601
108	0.2716378692
109	0.2713971937
110	0.2710161498
111	0.2705668979
