iter	Passed	Remaining
0	221	221400
1	406	202934
2	602	200120
3	794	197826
4	957	190610
5	1151	190720
6	1251	177489
7	1412	175139
8	1562	172091
9	1639	162283
10	1814	163170
11	1997	164501
12	2175	165199
13	2353	165767
14	2449	160867
15	2639	162335
16	2811	162558
17	2981	162647
18	3148	162539
19	3329	163165
20	3546	165317
21	3747	166608
22	3893	165401
23	4043	164448
24	4206	164046
25	4315	161655
26	4390	158225
27	4550	157969
28	4709	157688
29	4848	156775
30	4967	155279
31	5072	153438
32	5208	152613
33	5377	152783
34	5513	152026
35	5670	151849
36	5809	151195
37	5977	151315
38	6124	150907
39	6268	150432
40	6360	148770
41	6508	148444
42	6644	147879
43	6826	148311
44	7005	148676
45	7074	146728
46	7200	145997
47	7260	143996
48	7400	143624
49	7530	143084
50	7687	143040
51	7860	143295
52	7992	142812
53	8139	142598
54	8314	142852
55	8474	142848
56	8632	142821
57	8682	141011
58	8836	140940
59	8996	140941
60	9071	139647
61	9139	138272
62	9289	138165
63	9435	137992
64	9562	137547
65	9702	137309
66	9850	137178
67	9994	136989
68	10150	136963
69	10328	137215
70	10483	137165
71	10640	137141
72	10811	137287
73	10988	137499
74	11158	137622
75	11241	136675
76	11377	136377
77	11543	136454
78	11679	136163
79	11831	136066
80	12005	136210
81	12154	136069
82	12235	135184
83	12333	134490
84	12476	134309
85	12635	134290
86	12805	134388
87	12957	134286
88	13135	134453
89	13297	134449
90	13434	134198
91	13594	134173
92	13742	134025
93	13882	133802
94	14048	133831
95	14195	133674
96	14357	133655
97	14521	133655
98	14701	133797
99	14852	133676
100	15026	133746
101	15177	133618
102	15341	133601
103	15500	133547
104	15671	133584
105	15812	133364
106	15965	133247
107	16110	133059
108	16278	133063
109	16445	133058
110	16603	132980
111	16776	133017
112	16932	132915
113	17087	132803
114	17248	132736
115	17402	132621
116	17554	132481
117	17706	132351
118	17858	132215
119	18007	132055
120	18197	132198
121	18344	132019
122	18500	131912
123	18651	131767
124	18805	131637
125	18963	131541
126	19138	131560
127	19322	131632
128	19491	131607
129	19643	131458
130	19803	131370
131	19973	131339
132	20153	131374
133	20312	131273
134	20476	131201
135	20622	131012
136	20770	130842
137	20905	130583
138	21087	130618
139	21251	130542
140	21420	130496
141	21572	130343
142	21748	130340
143	21929	130359
144	22099	130313
145	22248	130139
146	22395	129956
147	22568	129920
148	22722	129778
149	22900	129768
150	23045	129575
151	23202	129446
152	23361	129330
153	23521	129218
154	23689	129144
155	23853	129051
156	24018	128964
157	24181	128866
158	24322	128651
159	24469	128463
160	24624	128322
161	24761	128087
162	24912	127924
163	25052	127707
164	25193	127494
165	25338	127300
166	25476	127076
167	25628	126919
168	25776	126747
169	25946	126680
170	26088	126475
171	26264	126434
172	26445	126418
173	26594	126245
174	26757	126141
175	26937	126114
176	27098	125998
177	27259	125883
178	27421	125769
179	27593	125703
180	27759	125607
181	27901	125404
182	28071	125323
183	28219	125147
184	28381	125033
185	28526	124843
186	28684	124706
187	28838	124558
188	29003	124456
189	29179	124396
190	29344	124292
191	29525	124252
192	29692	124154
193	29847	124004
194	30010	123888
195	30142	123645
196	30290	123469
197	30474	123436
198	30620	123250
199	30779	123119
200	30949	123027
201	31110	122902
202	31290	122850
203	31441	122681
204	31566	122417
205	31733	122314
206	31891	122172
207	32069	122111
208	32206	121890
209	32372	121781
210	32553	121729
211	32712	121590
212	32873	121462
213	33050	121390
214	33196	121207
215	33355	121068
216	33494	120859
217	33625	120620
218	33781	120472
219	33939	120331
220	34111	120239
221	34239	119991
222	34390	119826
223	34520	119587
224	34682	119463
225	34841	119324
226	34997	119177
227	35159	119048
228	35314	118896
229	35467	118737
230	35638	118640
231	35815	118562
232	35968	118403
233	36119	118236
234	36269	118070
235	36417	117894
236	36578	117761
237	36771	117730
238	36927	117579
239	37080	117422
240	37248	117309
241	37414	117191
242	37593	117111
243	37730	116903
244	37901	116799
245	38055	116640
246	38192	116431
247	38341	116261
248	38493	116098
249	38666	115999
250	38817	115834
251	38975	115689
252	39133	115545
253	39290	115395
254	39433	115207
255	39598	115084
256	39777	115000
257	39940	114867
258	40115	114771
259	40273	114623
260	40450	114532
261	40620	114418
262	40784	114290
263	40935	114124
264	41098	113989
265	41245	113813
266	41395	113643
267	41571	113546
268	41730	113401
269	41889	113256
270	42038	113084
271	42195	112934
272	42351	112781
273	42520	112663
274	42699	112570
275	42868	112452
276	43033	112320
277	43179	112141
278	43339	112000
279	43504	111867
280	43662	111718
281	43798	111516
282	43967	111395
283	44139	111281
284	44292	111118
285	44450	110971
286	44589	110775
287	44743	110616
288	44903	110471
289	45062	110324
290	45212	110155
291	45370	110008
292	45521	109841
